"SafeStage — Synthetic User Behaviour Dataset (2,000 Rows)",,,,,,,,,,,,,,,,
◆ DEMOGRAPHICS,,,,◆ IDENTITY VERIFICATION,,,◆ BEHAVIOURAL METRICS,,,◆ FINANCIALS,,◆ PREFERENCE & INTENT,,,◆ LABELS,
U2477,35,Vancouver/Canada,523,Yes,Driver's License,1.75,4019,Erratic,23,3869.12,8000,Sports,Early Access,Bot Competition,No,Scalper
U2048,39,Mumbai/India,184,Yes,State ID,1.72,2179,Erratic,11,2442.52,5635.06,Music,Early Access,High Prices,Maybe,Scalper
U1999,26,Singapore/Singapore,861,Yes,National ID,5.07,3000,Natural,4,213.05,324.22,Theatre,Face-value Resale,Bot Competition,Yes,Fan
U1475,26,Melbourne/Australia,421,Yes,National ID,3.61,9430,Natural,6,344.5,542.82,Sports,Group Booking,High Prices,Maybe,Fan
U2528,41,Sydney/Australia,310,Yes,National ID,2.62,2755,Erratic,19,3518.9,7740.46,Music,Early Access,Bot Competition,No,Scalper
U2628,21,Chicago/USA,1,No,None,0.71,50,Linear,38,4832.98,15000,Music,Early Access,Bot Competition,No,Bot
U2443,29,São Paulo/Brazil,447,Yes,Driver's License,3.68,3425,Erratic,12,1728.35,3584.3,Sports,Early Access,Bot Competition,Maybe,Scalper
U1359,22,Tokyo/Japan,1129,Yes,Driver's License,2.65,6218,Natural,5,305.83,409.28,Music,Early Access,Interface Complexity,Yes,Fan
U2124,41,Chicago/USA,544,Yes,Driver's License,0.77,2589,Erratic,27,3623.21,8000,Sports,Early Access,Interface Complexity,Maybe,Scalper
U1435,21,New York/USA,610,Yes,Passport,5.8,10156,Natural,4,612.95,787.79,Music,Early Access,Interface Complexity,Yes,Fan
U2381,42,Seoul/South Korea,191,Yes,National ID,2.88,2901,Erratic,13,2898.36,6871.15,Sports,Early Access,Interface Complexity,No,Scalper
U1896,31,Vancouver/Canada,860,Yes,National ID,3.81,9543,Natural,3,211.82,399.05,Music,Early Access,Interface Complexity,Yes,Fan
U1856,36,Dubai/UAE,562,Yes,National ID,4.62,3581,Natural,5,576.88,800,Music,Face-value Resale,Bot Competition,Yes,Fan
U2255,41,Vancouver/Canada,606,Yes,National ID,2.64,3026,Linear,17,2504.6,5872.6,Music,Early Access,Interface Complexity,No,Scalper
U2911,22,Vancouver/Canada,58,No,None,0.35,79,Linear,59,4558.69,14029.46,Theatre,Early Access,Bot Competition,No,Bot
U2937,18,Mumbai/India,167,No,None,0.51,205,Linear,25,3895.35,12041.92,Sports,Early Access,Bot Competition,No,Bot
U2994,21,Paris/France,147,No,None,0.7,183,Linear,32,2278.01,6560.69,Music,Early Access,High Prices,No,Bot
U1094,44,London/UK,1032,Yes,Driver's License,3.9,5246,Natural,5,463.88,604.31,Music,Face-value Resale,Interface Complexity,Yes,Fan
U2097,43,Seoul/South Korea,484,No,None,2.63,3251,Erratic,24,2619.59,6148.1,Music,Group Booking,Interface Complexity,No,Scalper
U2901,24,São Paulo/Brazil,14,No,None,0.15,197,Linear,35,5764.55,15000,Music,Early Access,Bot Competition,No,Bot
U2258,27,Vancouver/Canada,674,Yes,Driver's License,2.75,2525,Erratic,31,1641.84,3756.9,Sports,Early Access,Interface Complexity,No,Scalper
U1709,43,London/UK,456,Yes,National ID,4.67,7962,Natural,5,268.11,235.86,Music,Group Booking,Bot Competition,Yes,Fan
U2734,32,Tokyo/Japan,190,No,None,0.55,93,Linear,40,5233.33,15000,Music,Early Access,Bot Competition,No,Bot
U2088,36,Melbourne/Australia,536,Yes,Passport,0.99,1780,Linear,11,1984.19,4806.42,Music,Early Access,Interface Complexity,Maybe,Scalper
U2816,20,Singapore/Singapore,120,No,None,0.1,256,Linear,40,4430.38,13064.46,Music,Early Access,Bot Competition,No,Bot
U2330,30,New York/USA,1157,Yes,National ID,4.04,2502,Erratic,18,2359.08,5294.35,Music,Early Access,Interface Complexity,No,Scalper
U2346,39,Chicago/USA,588,Yes,National ID,1.7,2843,Linear,23,2693.25,5755.15,Theatre,Face-value Resale,Interface Complexity,Maybe,Scalper
U2249,38,Amsterdam/Netherlands,431,Yes,State ID,4.19,4160,Erratic,14,1882.36,3618.58,Sports,Face-value Resale,Interface Complexity,No,Scalper
U1189,19,Berlin/Germany,722,Yes,Driver's License,4.47,8500,Natural,2,496.33,656.95,Music,Early Access,High Prices,Yes,Fan
U2657,24,Tokyo/Japan,139,No,None,0.51,143,Linear,41,5523.43,15000,Music,Early Access,Bot Competition,No,Bot
U2283,36,Singapore/Singapore,533,Yes,State ID,1.12,3456,Erratic,19,2292.93,4868.93,Theatre,Early Access,Bot Competition,No,Scalper
U1993,36,Vancouver/Canada,1434,Yes,Passport,2.86,7668,Natural,3,498.07,714.55,Sports,Face-value Resale,High Prices,Yes,Fan
U2873,28,Singapore/Singapore,186,No,None,0.12,208,Linear,53,5486.04,15000,Sports,Early Access,Bot Competition,No,Bot
U2354,37,Paris/France,425,Yes,Driver's License,3.92,2917,Linear,21,3186.01,7226.97,Sports,Early Access,Interface Complexity,Maybe,Scalper
U1344,18,Seoul/South Korea,1193,Yes,National ID,2,10683,Natural,6,365.61,303.6,Music,Face-value Resale,High Prices,Yes,Fan
U2179,37,Berlin/Germany,714,No,None,5.05,3463,Erratic,14,2921.75,6173.34,Music,Early Access,Interface Complexity,No,Scalper
U1008,19,Mumbai/India,1008,Yes,Driver's License,3.73,8703,Natural,7,413.55,704.14,Music,Face-value Resale,High Prices,Yes,Fan
U1760,18,Paris/France,825,Yes,Passport,4.9,11047,Natural,5,291.47,502.33,Sports,Face-value Resale,Bot Competition,Yes,Fan
U2846,25,Mexico City/Mexico,154,No,None,0.72,235,Linear,71,5650.45,15000,Sports,Early Access,Bot Competition,No,Bot
U2115,22,New York/USA,488,Yes,Passport,4.62,2386,Erratic,19,2812.76,6182.21,Music,Group Booking,Interface Complexity,No,Scalper
U2342,30,Vancouver/Canada,496,Yes,State ID,2.59,4062,Erratic,16,2745.13,6108.45,Theatre,Early Access,Interface Complexity,No,Scalper
U2757,19,Paris/France,136,No,None,0.86,286,Linear,51,3830.58,11117.45,Sports,Face-value Resale,Bot Competition,No,Bot
U1216,26,Melbourne/Australia,1049,Yes,National ID,5.87,11751,Natural,1,274.05,283.06,Theatre,Face-value Resale,Bot Competition,Maybe,Fan
U1110,26,Melbourne/Australia,1014,Yes,Driver's License,5.02,10375,Natural,4,373.37,507.01,Sports,Face-value Resale,Bot Competition,Maybe,Fan
U1220,29,Amsterdam/Netherlands,1115,Yes,National ID,2.95,5408,Natural,4,687.14,800,Music,Face-value Resale,High Prices,Yes,Fan
U2694,21,Berlin/Germany,128,Yes,National ID,0.11,190,Linear,25,3970.77,12040.16,Sports,Early Access,Bot Competition,Maybe,Bot
U1073,29,Singapore/Singapore,945,Yes,National ID,4.06,7657,Natural,4,112.17,80,Sports,Early Access,Interface Complexity,Yes,Fan
U2989,32,Los Angeles/USA,87,No,None,0.92,205,Linear,43,3723.26,10809.24,Music,Early Access,Bot Competition,No,Bot
U2618,30,Los Angeles/USA,189,No,None,0.92,169,Linear,35,5287.81,15000,Music,Early Access,Bot Competition,No,Bot
U2217,32,Los Angeles/USA,709,No,None,0.5,3592,Erratic,10,3769.9,8000,Theatre,Group Booking,Interface Complexity,Maybe,Scalper
U2082,41,Madrid/Spain,754,No,None,2.51,3200,Erratic,10,2311.72,4600.14,Music,Face-value Resale,High Prices,No,Scalper
U2651,28,Los Angeles/USA,284,Yes,National ID,0.65,222,Linear,46,3847.51,11538.98,Sports,Early Access,Bot Competition,No,Bot
U1922,27,São Paulo/Brazil,1082,Yes,Driver's License,4.1,8611,Natural,4,238.7,347.64,Music,Face-value Resale,Bot Competition,Yes,Fan
U2486,31,Tokyo/Japan,496,No,None,1.67,2327,Linear,10,2237.34,5097.95,Sports,Early Access,Interface Complexity,Maybe,Scalper
U1729,18,Madrid/Spain,1253,Yes,Driver's License,5.76,8043,Natural,3,492,800,Theatre,Early Access,High Prices,Yes,Fan
U1028,19,Mumbai/India,1332,Yes,Passport,2.78,10707,Natural,4,243.33,377.63,Sports,Group Booking,High Prices,Yes,Fan
U2454,26,Sydney/Australia,677,No,None,4.31,3176,Erratic,16,2355.84,5376.4,Sports,Early Access,High Prices,No,Scalper
U1231,33,Berlin/Germany,1166,Yes,Driver's License,4.12,12288,Natural,4,509.59,766.7,Sports,Early Access,High Prices,Yes,Fan
U1607,28,Tokyo/Japan,1104,Yes,National ID,5.21,7249,Natural,4,353.08,376.1,Music,Group Booking,Bot Competition,Yes,Fan
U1507,26,Vancouver/Canada,879,Yes,State ID,5.33,6090,Natural,3,417.43,596.37,Theatre,Group Booking,High Prices,Yes,Fan
U1416,18,Seoul/South Korea,973,Yes,National ID,3.19,5336,Natural,2,439.9,565.75,Sports,Face-value Resale,Bot Competition,Yes,Fan
U1053,24,Toronto/Canada,1126,Yes,Driver's License,5.1,5356,Natural,4,555.25,643.8,Music,Face-value Resale,High Prices,Yes,Fan
U2669,24,Amsterdam/Netherlands,59,No,None,1.11,188,Linear,55,5040.31,15000,Theatre,Early Access,Bot Competition,Maybe,Bot
U2825,19,Mumbai/India,155,No,None,0.1,50,Linear,37,6020.41,15000,Sports,Early Access,Bot Competition,No,Bot
U1809,25,Los Angeles/USA,766,Yes,Driver's License,5.23,3901,Natural,1,481.77,724.31,Sports,Face-value Resale,Interface Complexity,Maybe,Fan
U2959,19,São Paulo/Brazil,135,No,None,1.03,242,Linear,45,3825.42,11081.37,Music,Early Access,High Prices,No,Bot
U1624,35,Chicago/USA,528,Yes,National ID,5.23,10553,Natural,5,838.45,800,Music,Early Access,Bot Competition,Maybe,Fan
U1882,27,Toronto/Canada,999,Yes,Driver's License,5.17,8394,Natural,1,251.08,307.8,Theatre,Face-value Resale,High Prices,Yes,Fan
U2630,19,New York/USA,128,No,None,0.58,169,Linear,46,1475.47,4434.76,Music,Face-value Resale,Bot Competition,No,Bot
U1587,29,Madrid/Spain,205,Yes,Passport,6.51,8904,Natural,6,135.49,289.25,Music,Face-value Resale,High Prices,Yes,Fan
U2206,34,São Paulo/Brazil,468,No,None,2.91,800,Erratic,27,2802.24,6007.47,Sports,Group Booking,Interface Complexity,No,Scalper
U2494,48,Toronto/Canada,891,Yes,Driver's License,5.23,2069,Linear,17,2944.55,6504.78,Theatre,Early Access,Interface Complexity,No,Scalper
U1801,26,Vancouver/Canada,1165,Yes,Passport,5.55,5433,Natural,3,470.62,637.03,Theatre,Face-value Resale,Interface Complexity,Yes,Fan
U1376,27,Madrid/Spain,850,Yes,Driver's License,4.75,5316,Natural,1,170.06,110.06,Music,Face-value Resale,Bot Competition,Yes,Fan
U1197,27,Melbourne/Australia,854,Yes,State ID,4.27,10634,Natural,5,50,122.47,Sports,Group Booking,Bot Competition,Yes,Fan
U2819,27,London/UK,157,No,None,1.08,136,Linear,54,6174.53,15000,Sports,Early Access,Bot Competition,No,Bot
U1065,20,Sydney/Australia,403,Yes,State ID,5.49,7983,Natural,1,186.89,234.78,Sports,Group Booking,High Prices,Yes,Fan
U2368,29,Austin/USA,559,Yes,Driver's License,2.12,3664,Erratic,20,2762.02,5687.37,Music,Early Access,Interface Complexity,No,Scalper
U1848,30,Madrid/Spain,769,Yes,Driver's License,5.76,5128,Natural,4,350.85,430.22,Music,Group Booking,Bot Competition,Yes,Fan
U1380,18,Austin/USA,609,Yes,Passport,4.13,6264,Natural,2,596.2,724.94,Music,Group Booking,High Prices,Maybe,Fan
U2272,35,Amsterdam/Netherlands,461,Yes,National ID,3.05,2832,Erratic,14,2894.7,5934.17,Sports,Face-value Resale,Interface Complexity,No,Scalper
U1972,34,Berlin/Germany,729,Yes,Passport,5.21,5655,Natural,3,520.03,800,Music,Early Access,Interface Complexity,Yes,Fan
U2211,39,Melbourne/Australia,277,Yes,Driver's License,2.5,2101,Linear,19,2526.09,5528.4,Music,Face-value Resale,Interface Complexity,Maybe,Scalper
U2861,27,São Paulo/Brazil,200,No,None,0.83,133,Linear,37,3179.89,9896.42,Music,Early Access,Bot Competition,No,Bot
U1139,23,Seoul/South Korea,1211,Yes,Passport,3.77,12365,Natural,5,332.18,637.64,Music,Early Access,Bot Competition,Yes,Fan
U1358,29,Melbourne/Australia,604,Yes,Passport,4.16,10786,Natural,5,172.89,270.16,Music,Face-value Resale,Bot Competition,Yes,Fan
U1484,19,New York/USA,393,Yes,National ID,3.16,9477,Natural,5,349.46,407.82,Music,Face-value Resale,Bot Competition,Yes,Fan
U1236,32,Vancouver/Canada,711,Yes,State ID,6.34,6460,Natural,1,219.03,405.51,Sports,Face-value Resale,Interface Complexity,Yes,Fan
U2367,33,Mexico City/Mexico,446,Yes,Driver's License,3.59,4359,Erratic,13,2391.66,5292.54,Music,Early Access,Interface Complexity,No,Scalper
U1787,38,Madrid/Spain,892,Yes,Passport,6.47,10070,Natural,2,817.77,800,Music,Group Booking,High Prices,Yes,Fan
U2392,49,London/UK,599,No,None,1.75,1805,Linear,17,3619.48,7647.54,Sports,Early Access,Interface Complexity,No,Scalper
U2363,24,Los Angeles/USA,285,No,None,2.57,2686,Linear,13,3637.31,8000,Music,Early Access,Interface Complexity,No,Scalper
U2133,35,Amsterdam/Netherlands,697,Yes,Passport,4.11,3561,Erratic,10,2316.99,5537.13,Sports,Early Access,Bot Competition,No,Scalper
U1704,39,Dubai/UAE,992,Yes,Passport,5.07,9274,Natural,1,665.95,800,Music,Early Access,Bot Competition,Yes,Fan
U1591,34,Chicago/USA,253,Yes,State ID,5.04,6203,Natural,7,532.16,764.21,Music,Face-value Resale,High Prices,Yes,Fan
U2834,18,Madrid/Spain,132,No,None,0.46,253,Linear,48,4179.67,13377.02,Theatre,Early Access,Bot Competition,Maybe,Bot
U1945,25,Austin/USA,90,Yes,National ID,4.99,5686,Natural,1,555.57,691.24,Music,Group Booking,Bot Competition,Yes,Fan
U1176,27,Mexico City/Mexico,921,Yes,National ID,5.89,5481,Natural,4,595.54,800,Theatre,Group Booking,Bot Competition,Yes,Fan
U1436,31,Sydney/Australia,865,Yes,Driver's License,4.04,9152,Natural,5,299.7,414.69,Music,Group Booking,Interface Complexity,Yes,Fan
U1823,30,London/UK,848,Yes,National ID,4.6,7759,Natural,9,180.56,93.59,Sports,Early Access,Interface Complexity,Yes,Fan
U2428,22,São Paulo/Brazil,568,No,None,4.77,3097,Linear,17,3278.7,6827.2,Sports,Early Access,Bot Competition,Maybe,Scalper
U1375,31,Austin/USA,634,Yes,State ID,4.72,11058,Natural,5,345.77,504.65,Sports,Group Booking,Bot Competition,Maybe,Fan
U2808,31,Mexico City/Mexico,159,No,None,0.97,132,Linear,44,4113.31,11683.63,Music,Early Access,Bot Competition,Maybe,Bot
U1803,23,Mexico City/Mexico,679,Yes,Passport,2.76,6637,Natural,6,415.47,631.87,Sports,Group Booking,High Prices,Yes,Fan
U1083,29,Berlin/Germany,1219,Yes,State ID,3.88,11323,Natural,8,354.69,460.93,Music,Group Booking,High Prices,Yes,Fan
U1438,36,Melbourne/Australia,930,Yes,Passport,3.92,3347,Natural,1,460.8,600.2,Theatre,Face-value Resale,Bot Competition,Maybe,Fan
U1553,24,Singapore/Singapore,823,Yes,Passport,3.6,8756,Natural,6,106.3,181.58,Sports,Face-value Resale,Interface Complexity,Yes,Fan
U2177,29,Paris/France,482,No,None,3.08,1694,Erratic,10,2420.04,4744.38,Music,Early Access,Interface Complexity,No,Scalper
U1806,28,Toronto/Canada,758,Yes,Driver's License,5.85,11800,Natural,7,556.27,758.57,Music,Group Booking,Interface Complexity,Yes,Fan
U2421,39,Vancouver/Canada,689,Yes,State ID,2.35,1493,Linear,21,2894.21,6760.71,Sports,Early Access,High Prices,No,Scalper
U2691,21,Melbourne/Australia,64,Yes,Passport,0.28,86,Linear,46,5081.29,14651.45,Sports,Early Access,Bot Competition,No,Bot
U2979,27,Seoul/South Korea,34,No,None,0.52,50,Linear,43,5512.15,15000,Sports,Face-value Resale,Bot Competition,No,Bot
U2775,28,Amsterdam/Netherlands,165,No,None,0.56,200,Linear,52,2844.37,8290.35,Music,Early Access,Bot Competition,No,Bot
U2100,39,London/UK,585,Yes,Passport,1.53,2708,Erratic,11,2584.25,5581.33,Sports,Group Booking,Bot Competition,No,Scalper
U1369,35,Amsterdam/Netherlands,651,Yes,Passport,2.08,8162,Natural,5,398.03,520.61,Sports,Face-value Resale,High Prices,Yes,Fan
U1451,28,Madrid/Spain,809,Yes,National ID,3.29,8700,Natural,2,537.97,667.54,Music,Face-value Resale,High Prices,Maybe,Fan
U1278,22,Austin/USA,955,Yes,Driver's License,7.73,8674,Natural,1,402.82,421.85,Sports,Group Booking,High Prices,Maybe,Fan
U2645,23,London/UK,144,No,None,0.51,252,Linear,34,1762.82,4661.96,Sports,Group Booking,Bot Competition,No,Bot
U1572,22,Tokyo/Japan,908,Yes,Passport,5.34,4718,Natural,2,502.32,800,Theatre,Face-value Resale,Bot Competition,Yes,Fan
U1677,28,Madrid/Spain,1209,Yes,State ID,5.81,5785,Natural,2,181.98,287.5,Music,Face-value Resale,High Prices,Yes,Fan
U2514,30,Berlin/Germany,336,No,None,4.92,2234,Erratic,26,2900.88,6618.86,Music,Early Access,Bot Competition,Maybe,Scalper
U2197,28,Tokyo/Japan,126,Yes,Passport,3.68,3007,Erratic,25,2692.27,5761.17,Sports,Face-value Resale,Interface Complexity,Maybe,Scalper
U1872,23,Dubai/UAE,1460,Yes,National ID,3.59,3637,Natural,1,392.92,497.03,Music,Early Access,Bot Competition,Yes,Fan
U1715,32,Seoul/South Korea,1307,Yes,State ID,4.32,6158,Natural,5,434.12,622.41,Music,Face-value Resale,Interface Complexity,Maybe,Fan
U2610,21,Toronto/Canada,83,Yes,Driver's License,0.61,56,Linear,55,5055.92,15000,Sports,Early Access,Bot Competition,No,Bot
U1594,19,Austin/USA,835,Yes,National ID,5.5,6997,Natural,1,625.21,800,Theatre,Face-value Resale,Interface Complexity,Yes,Fan
U2520,40,Los Angeles/USA,530,No,None,1.97,2710,Linear,20,1704.6,3979.81,Music,Early Access,High Prices,No,Scalper
U1628,39,New York/USA,493,Yes,National ID,5.38,3000,Natural,3,806.25,800,Music,Face-value Resale,Bot Competition,Yes,Fan
U1429,18,Austin/USA,1050,Yes,National ID,2.02,7006,Natural,5,454.54,792.22,Music,Face-value Resale,High Prices,Yes,Fan
U2566,24,Dubai/UAE,572,No,None,3.78,3734,Erratic,19,2784.46,6121.15,Music,Early Access,High Prices,No,Scalper
U2033,37,Chicago/USA,273,Yes,Driver's License,2.91,2729,Erratic,18,3476.3,7309.36,Music,Early Access,Interface Complexity,No,Scalper
U1721,38,Austin/USA,1022,Yes,National ID,2.85,6615,Natural,9,550.41,800,Theatre,Early Access,Interface Complexity,Maybe,Fan
U1345,41,Mexico City/Mexico,1099,Yes,National ID,3.39,3806,Natural,3,381.58,573.91,Music,Group Booking,Bot Competition,Maybe,Fan
U2563,36,Berlin/Germany,539,No,None,1.38,3435,Erratic,26,3189.19,6833.69,Music,Early Access,Interface Complexity,No,Scalper
U2208,36,Dubai/UAE,328,Yes,State ID,1.91,2479,Linear,15,2639.85,5857.98,Music,Early Access,Bot Competition,Maybe,Scalper
U1426,22,Melbourne/Australia,507,Yes,Passport,2.58,6224,Natural,5,384.55,501.2,Sports,Group Booking,Bot Competition,Maybe,Fan
U2132,35,Mumbai/India,573,Yes,Passport,2.95,2725,Erratic,23,3156.92,7160.55,Sports,Face-value Resale,Interface Complexity,Maybe,Scalper
U1052,33,Mexico City/Mexico,722,Yes,State ID,3.46,7921,Natural,2,468.68,652.13,Sports,Face-value Resale,Interface Complexity,Maybe,Fan
U1974,26,Seoul/South Korea,804,Yes,National ID,6.17,8597,Natural,3,761.3,800,Sports,Early Access,Bot Competition,Yes,Fan
U2608,25,Paris/France,85,Yes,Passport,0.95,97,Linear,30,7016.55,15000,Music,Early Access,Bot Competition,No,Bot
U1519,35,Dubai/UAE,1027,Yes,National ID,3.34,6453,Natural,3,153.06,148.87,Sports,Face-value Resale,Bot Competition,Yes,Fan
U1880,30,Dubai/UAE,790,Yes,State ID,4.71,7855,Natural,2,532.84,742.07,Theatre,Early Access,Bot Competition,Yes,Fan
U2225,31,Austin/USA,463,Yes,Passport,3.29,1546,Erratic,10,3852.95,8000,Music,Early Access,Interface Complexity,Maybe,Scalper
U2695,25,Paris/France,135,No,None,0.45,214,Linear,54,3665.38,10311.54,Music,Early Access,Bot Competition,No,Bot
U2543,30,New York/USA,625,Yes,State ID,1.9,2041,Erratic,16,3301.14,6382.38,Theatre,Early Access,Bot Competition,No,Scalper
U2051,34,Tokyo/Japan,649,Yes,Passport,1.96,3745,Erratic,18,2849.9,6461.47,Sports,Face-value Resale,Interface Complexity,No,Scalper
U1862,18,London/UK,1515,Yes,State ID,3.67,7551,Natural,3,68.17,80,Music,Early Access,Bot Competition,Maybe,Fan
U2730,26,Vancouver/Canada,196,No,None,0.81,169,Linear,54,4843.53,15000,Music,Early Access,Bot Competition,Maybe,Bot
U2054,35,Dubai/UAE,463,Yes,Passport,1.59,2782,Linear,15,3027.84,6991.12,Music,Early Access,Interface Complexity,No,Scalper
U2663,34,Los Angeles/USA,1,No,None,0.53,192,Linear,49,6259.68,15000,Sports,Early Access,Interface Complexity,No,Bot
U1346,24,Tokyo/Japan,845,Yes,State ID,4.07,10751,Natural,2,428.14,603.49,Sports,Face-value Resale,Bot Competition,Maybe,Fan
U1998,39,Dubai/UAE,815,Yes,National ID,4.65,8911,Natural,4,284.44,308.38,Music,Group Booking,High Prices,Yes,Fan
U1696,28,Vancouver/Canada,686,Yes,National ID,4.64,8390,Natural,2,350.81,474.67,Music,Group Booking,High Prices,Yes,Fan
U2299,22,New York/USA,247,Yes,Passport,5.65,5412,Erratic,21,3164.68,6780.1,Music,Face-value Resale,Interface Complexity,No,Scalper
U2977,30,Berlin/Germany,45,No,None,0.16,221,Linear,51,5580.69,15000,Music,Early Access,Bot Competition,No,Bot
U1289,29,Singapore/Singapore,1288,Yes,Passport,3.64,9662,Natural,3,408.45,579.17,Theatre,Face-value Resale,Bot Competition,Yes,Fan
U2021,28,Seoul/South Korea,455,Yes,Driver's License,3.13,2839,Erratic,22,3354.05,7327.37,Theatre,Face-value Resale,Interface Complexity,Maybe,Scalper
U2424,33,Dubai/UAE,708,No,None,3.59,2247,Linear,17,2128.1,4614.34,Sports,Early Access,Bot Competition,No,Scalper
U1126,19,Toronto/Canada,970,Yes,State ID,2.63,8627,Natural,5,61.13,115.51,Sports,Group Booking,Interface Complexity,Yes,Fan
U1365,38,Dubai/UAE,1217,Yes,State ID,5.55,7012,Natural,2,479.87,746.47,Sports,Early Access,Bot Competition,Yes,Fan
U2194,38,São Paulo/Brazil,607,Yes,National ID,1.57,2590,Erratic,15,3118.6,7092.74,Music,Early Access,Bot Competition,No,Scalper
U1986,18,Tokyo/Japan,1330,Yes,Driver's License,4.73,9455,Natural,1,634.96,800,Music,Face-value Resale,Interface Complexity,Yes,Fan
U1877,21,Seoul/South Korea,948,Yes,State ID,3.99,5885,Natural,5,143.21,245.68,Sports,Face-value Resale,Interface Complexity,Yes,Fan
U2103,32,Sydney/Australia,274,Yes,State ID,1.63,2499,Erratic,13,1883.92,4098.57,Theatre,Early Access,Interface Complexity,Maybe,Scalper
U2461,29,Sydney/Australia,324,Yes,National ID,4.8,3808,Erratic,13,2670.12,5879.25,Music,Early Access,High Prices,No,Scalper
U2605,28,Melbourne/Australia,106,No,None,1.23,286,Linear,66,4912.91,15000,Sports,Early Access,Bot Competition,Maybe,Bot
U2879,20,New York/USA,105,No,None,0.94,273,Linear,45,7230.49,15000,Music,Early Access,Bot Competition,No,Bot
U1528,22,Singapore/Singapore,795,Yes,National ID,5.42,5165,Natural,4,113.66,114.22,Music,Group Booking,Interface Complexity,Yes,Fan
U2999,26,New York/USA,57,No,None,0.66,292,Linear,41,3225.2,9049.91,Sports,Early Access,Interface Complexity,No,Bot
U2659,24,Vancouver/Canada,126,No,None,0.88,283,Linear,36,5155.61,15000,Music,Early Access,Bot Competition,No,Bot
U1589,30,Los Angeles/USA,907,Yes,Passport,3.64,9823,Natural,5,574.47,794.41,Music,Group Booking,Bot Competition,Yes,Fan
U1500,26,London/UK,1112,Yes,Driver's License,4.52,7453,Natural,3,365.07,594.85,Sports,Face-value Resale,High Prices,Maybe,Fan
U2062,32,Toronto/Canada,390,Yes,State ID,2.11,3020,Erratic,17,2219.48,5060.33,Theatre,Early Access,High Prices,Maybe,Scalper
U1707,38,Los Angeles/USA,610,Yes,Driver's License,4,5989,Natural,4,355.39,555.93,Theatre,Group Booking,Bot Competition,Yes,Fan
U2619,26,Mumbai/India,153,No,None,0.71,186,Linear,42,4777.27,14194.67,Sports,Early Access,Bot Competition,No,Bot
U1647,28,Berlin/Germany,1247,Yes,National ID,4.98,5931,Natural,3,167.48,225.82,Music,Group Booking,Interface Complexity,Yes,Fan
U1734,20,Singapore/Singapore,714,Yes,National ID,2.88,6285,Natural,3,207.42,198.25,Music,Group Booking,High Prices,Yes,Fan
U2744,26,Vancouver/Canada,52,No,None,0.39,177,Linear,37,4620.06,13758.82,Sports,Early Access,Bot Competition,Maybe,Bot
U1976,26,Seoul/South Korea,791,Yes,Driver's License,4.24,7458,Natural,2,340.18,454.63,Music,Group Booking,Bot Competition,Maybe,Fan
U2085,24,Madrid/Spain,537,Yes,Driver's License,4.83,4364,Linear,21,1487.59,3429.3,Theatre,Group Booking,High Prices,No,Scalper
U1385,18,Sydney/Australia,851,Yes,Passport,4.67,9924,Natural,5,524.86,670.81,Theatre,Face-value Resale,Bot Competition,Maybe,Fan
U1162,45,Tokyo/Japan,706,Yes,Driver's License,3.54,6593,Natural,2,442.08,748.89,Sports,Early Access,Interface Complexity,Maybe,Fan
U2685,29,Amsterdam/Netherlands,197,Yes,Passport,0.93,255,Linear,46,6869.98,15000,Sports,Early Access,Bot Competition,No,Bot
U2523,46,Chicago/USA,329,Yes,Passport,4.1,3970,Linear,25,3119.18,6621.14,Sports,Early Access,Interface Complexity,Maybe,Scalper
U1490,36,Vancouver/Canada,884,Yes,State ID,5.1,7003,Natural,1,397.8,581.64,Theatre,Early Access,High Prices,Yes,Fan
U2011,34,New York/USA,678,Yes,Driver's License,2.61,2016,Erratic,21,3080.52,6649.16,Theatre,Face-value Resale,Interface Complexity,No,Scalper
U1478,19,Austin/USA,1076,Yes,Passport,5.24,3021,Natural,4,335.67,409.24,Music,Early Access,Bot Competition,Yes,Fan
U2006,34,Madrid/Spain,803,Yes,Passport,0.74,3783,Linear,18,3268.61,7157.3,Music,Early Access,Interface Complexity,No,Scalper
U1442,32,Singapore/Singapore,996,Yes,Driver's License,6.04,11037,Natural,5,572.24,800,Sports,Group Booking,Interface Complexity,Yes,Fan
U1632,35,Toronto/Canada,422,Yes,Driver's License,3.7,5542,Natural,5,441.03,514.59,Sports,Group Booking,High Prices,Yes,Fan
U2201,31,São Paulo/Brazil,399,Yes,Driver's License,2.97,1847,Linear,10,4328.96,8000,Sports,Early Access,Interface Complexity,No,Scalper
U2916,29,Sydney/Australia,95,No,None,0.41,247,Linear,41,5631.65,15000,Music,Face-value Resale,Bot Competition,No,Bot
U1640,18,Vancouver/Canada,826,Yes,National ID,4.85,9533,Natural,1,260.51,338.11,Music,Group Booking,High Prices,Yes,Fan
U2930,20,São Paulo/Brazil,179,No,None,0.8,130,Linear,57,2847.55,7943.57,Music,Early Access,Bot Competition,No,Bot
U1724,38,Mexico City/Mexico,542,Yes,Driver's License,6.83,5900,Natural,5,610.72,800,Music,Early Access,Bot Competition,Yes,Fan
U2676,36,Seoul/South Korea,187,No,None,0.39,210,Linear,50,4906.31,14815.76,Theatre,Early Access,Interface Complexity,No,Bot
